flow_start,flow_end,src_ip,src_port,dst_ip,dst_port,protocol,orig_bytes,resp_bytes,orig_pkts,resp_pkts,duration,subnet,qos_class,qos_delay_ms,ttl
1736121603.259804,1736121606.206445,10.0.1.254,24055,178.156.152.91,80,tcp,367,1101,9,21,2.946641,Engineering,BE,0.33,127
1736121600.060652,1736121603.897582,10.0.2.210,13598,224.0.0.251,5353,udp,218,654,3,7,3.836930,Office,BE,0.33,127
1736121603.032598,1736121610.454410,10.0.3.107,59194,66.42.71.197,123,udp,47,141,1,2,7.421812,Lab,BE,0.33,63
1736121600.583077,1736121605.845017,10.0.2.236,12933,64.233.180.95,443,udp,654,1962,3,7,5.261940,Office,BE,0.33,127
1736121601.789706,1736121608.194880,10.0.2.137,43716,224.0.0.251,5353,udp,489,1467,2,4,6.405174,Office,BE,0.33,127
1736121601.925911,1736121602.958803,10.0.2.123,59480,147.81.172.199,30081,tcp,5530,16590,15,36,1.032893,Office,BE,0.33,127
1736121602.045469,1736121606.410558,10.0.2.116,58468,224.0.0.251,5353,udp,1381,4143,5,12,4.365089,Office,BE,0.33,127
1736121603.013394,1736121604.481340,10.0.2.99,51631,224.0.0.251,5353,udp,835,2505,5,12,1.467946,Office,BE,0.33,127
1736121603.951704,1736121611.169824,10.0.2.125,63114,146.75.31.6,443,udp,3687,11061,13,31,7.218120,Office,BE,0.33,127
1736121603.345570,1736121605.304231,10.0.3.132,11657,23.186.168.130,123,udp,1029,2058,1,1,1.958661,Lab,BE,0.33,63
1736121603.357767,1736121605.565663,10.0.1.144,8388,108.18.98.104,51620,udp,7018,21054,11,26,2.207896,Engineering,BE,0.33,127
1736121603.894720,1736121605.947923,10.0.3.99,57285,141.11.228.173,123,udp,47,141,1,2,2.053202,Lab,BE,0.33,63
1736121603.437892,1736121611.889620,10.0.1.162,57878,103.133.36.2,48692,tcp,627,1881,2,4,8.451727,Engineering,BE,0.33,127
1736121604.173534,1736121616.676855,10.0.1.243,35170,108.18.98.104,41642,udp,2113,6339,15,36,12.503321,Engineering,BE,0.33,127
1736121604.660808,1736121607.305077,10.0.3.106,58377,45.33.53.84,123,udp,47,141,1,2,2.644269,Lab,BE,0.33,63
1736121604.618571,1736121611.673643,10.0.1.199,44423,199.38.181.93,3478,udp,11018,33054,125,300,7.055072,Engineering,BE,0.33,127
1736121606.774947,1736121609.329771,10.0.2.37,6104,224.0.0.251,5353,udp,722,2166,7,16,2.554823,Office,BE,0.33,127
1736121605.673185,1736121611.035928,10.0.1.202,34690,108.18.98.104,41641,udp,34404,103212,1,2,5.362744,Engineering,BE,0.33,127
1736121605.529092,1736121629.627634,10.0.3.164,58328,141.11.228.173,123,udp,47,141,1,2,24.098542,Lab,BE,0.33,63
1736121606.261784,1736121607.771348,10.0.3.91,26569,141.11.228.173,123,udp,47,141,1,2,1.509565,Lab,BE,0.33,63
1736121606.286310,1736121613.002515,10.0.1.194,4149,239.255.255.250,1900,udp,231,693,1,2,6.716205,Engineering,BE,0.33,127
1736121606.344449,1736121611.638927,10.0.3.50,18053,45.33.53.84,123,udp,47,141,1,2,5.294478,Lab,BE,0.33,63
1736121606.536778,1736121610.429185,10.0.1.149,41108,239.255.255.250,1900,udp,231,693,1,2,3.892407,Engineering,BE,0.33,127
1736121608.242580,1736121615.276240,10.0.3.186,48889,239.254.127.63,48000,udp,273,819,3,7,7.033660,Lab,BE,0.33,63
1736121606.801021,1736121623.143266,10.0.1.203,12613,178.156.152.106,3478,udp,202,606,4,9,16.342244,Engineering,BE,0.33,127
1736121607.026230,1736121613.178693,10.0.2.221,8695,17.248.230.66,443,udp,471,1413,35,84,6.152462,Office,BE,0.33,127
1736121606.848133,1736121609.881221,10.0.1.185,30807,178.156.152.106,3478,udp,194,582,8,19,3.033088,Engineering,BE,0.33,127
1736121607.285370,1736121609.644377,10.0.1.237,53006,147.81.172.199,54109,tcp,54416,163248,6,14,2.359008,Engineering,BE,0.33,127
1736121607.193497,1736121611.762795,10.0.2.113,24958,17.248.228.19,443,udp,374,1122,2,4,4.569298,Office,BE,0.33,127
1736121608.922001,1736121619.209027,10.0.2.81,57482,3.171.85.106,443,tcp,390,1170,25,60,10.287025,Office,BE,0.33,127
1736121607.357471,1736121612.216206,10.0.1.169,44011,68.183.90.120,3478,udp,150,450,2,4,4.858735,Engineering,BE,0.33,127
1736121607.415199,1736121609.315241,10.0.1.158,37848,108.18.98.104,51620,udp,1873,5619,34,81,1.900041,Engineering,BE,0.33,127
1736121608.225945,1736121619.021635,10.0.1.68,6150,147.81.172.199,54070,tcp,9239,27717,1,2,10.795689,Engineering,BE,0.33,127
1736121608.334439,1736121610.356849,10.0.1.247,53158,239.255.255.250,1900,udp,231,693,1,2,2.022410,Engineering,BE,0.33,127
1736121608.842797,1736121618.753648,10.0.3.185,33447,216.250.115.174,123,udp,948,1896,12,19,9.910851,Lab,BE,0.33,63
1736121609.483665,1736121613.287264,10.0.1.36,26958,178.156.152.106,3478,udp,257,771,6,14,3.803599,Engineering,BE,0.33,127
1736121608.871382,1736121616.047417,10.0.3.50,49766,45.33.53.84,123,udp,47,141,1,2,7.176035,Lab,BE,0.33,63
1736121609.770358,1736121630.740711,10.0.3.124,55540,141.11.228.173,123,udp,47,141,1,2,20.970353,Lab,BE,0.33,63
1736121609.029993,1736121620.371079,10.0.2.62,44694,3.171.100.125,443,tcp,1611,4833,12,28,11.341086,Office,BE,0.33,127
1736121609.298138,1736121614.426038,10.0.2.181,40521,3.171.100.124,443,tcp,308,924,190,456,5.127900,Office,BE,0.33,127
1736121610.109469,1736121617.681234,10.0.2.122,50495,224.0.0.251,5353,udp,697,2091,1,2,7.571765,Office,BE,0.33,127
1736121609.670061,1736121617.940895,10.0.1.244,11578,103.133.36.2,48692,tcp,1125,3375,2,4,8.270834,Engineering,BE,0.33,127
1736121609.895903,1736121614.123264,10.0.1.116,56695,108.18.98.104,41642,udp,2475,7425,8,19,4.227361,Engineering,BE,0.33,127
