flow_start,flow_end,src_ip,src_port,dst_ip,dst_port,protocol,orig_bytes,resp_bytes,orig_pkts,resp_pkts,duration,subnet,qos_class,qos_delay_ms,ttl
1736121600.637612,1736121613.837121,10.0.3.126,35709,45.33.53.84,123,udp,47,141,1,2,13.199509,Server_Room,BE,0.33,63
1736121602.481432,1736121608.733531,10.0.1.86,45308,108.18.98.104,51537,tcp,34222,102666,5,12,6.252099,Engineering,BE,0.33,127
1736121602.596371,1736121604.043733,10.0.2.159,41991,17.248.230.66,443,udp,1224,3672,1,2,1.447362,Office,BE,0.33,127
1736121603.457388,1736121604.900297,10.0.4.234,50221,100.50.0.164,443,tcp,1847,5541,16,38,1.442909,Building_IoT,BE,0.33,254
1736121601.321027,1736121609.161806,10.0.3.69,36382,66.42.71.197,123,udp,47,141,1,2,7.840779,Server_Room,BE,0.33,63
1736121601.524310,1736121619.476333,10.0.3.172,64611,45.33.53.84,123,udp,47,141,1,2,17.952023,Server_Room,BE,0.33,63
1736121603.327188,1736121625.452183,10.0.3.102,42845,23.150.40.242,123,udp,47,141,1,2,22.124996,Server_Room,BE,0.33,63
1736121603.851508,1736121606.386602,10.0.1.14,13059,103.133.36.2,42734,tcp,518,1554,2,4,2.535094,Engineering,BE,0.33,127
1736121602.701255,1736121607.742175,10.0.2.81,45594,3.171.85.72,443,tcp,1433,4299,7,16,5.040920,Office,BE,0.33,127
1736121604.129039,1736121608.797533,10.0.2.200,50523,172.253.63.108,993,tcp,356,712,15,24,4.668495,Office,BE,0.33,127
1736121603.348273,1736121606.887277,10.0.3.191,35552,239.254.127.63,48000,udp,521,1563,2,4,3.539003,Server_Room,BE,0.33,63
1736121605.318878,1736121607.720620,10.0.3.201,37737,163.123.153.14,123,udp,1937,3874,2,3,2.401742,Server_Room,BE,0.33,63
1736121603.653912,1736121607.171137,10.0.4.152,7076,54.205.175.194,443,tcp,5093,15279,11,26,3.517225,Building_IoT,BE,0.33,254
1736121605.862444,1736121611.566896,10.0.4.140,28014,98.87.225.147,443,tcp,917,2751,12,28,5.704452,Building_IoT,BE,0.33,254
1736121604.164642,1736121617.084297,10.0.1.211,31443,103.133.36.2,59902,tcp,1142,3426,2,4,12.919654,Engineering,BE,0.33,127
1736121604.231531,1736121613.822753,10.0.2.138,21703,3.171.85.84,443,tcp,838,2514,39,93,9.591222,Office,BE,0.33,127
1736121605.734927,1736121609.097395,10.0.1.193,52588,103.133.36.2,59902,tcp,1689,5067,2,4,3.362468,Engineering,BE,0.33,127
1736121605.769129,1736121608.480930,10.0.2.18,6773,147.81.172.199,30081,tcp,1817,5451,10,24,2.711801,Office,BE,0.33,127
1736121606.343499,1736121612.721227,10.0.3.126,35189,45.33.53.84,123,udp,47,141,1,2,6.377729,Server_Room,BE,0.33,63
1736121606.109093,1736121609.549178,10.0.1.99,15044,178.156.152.106,3478,udp,146,438,4,9,3.440085,Engineering,BE,0.33,127
1736121607.835867,1736121609.082307,10.0.2.81,64969,3.171.85.106,443,tcp,1012,3036,6,14,1.246440,Office,BE,0.33,127
