flow_start,flow_end,src_ip,src_port,dst_ip,dst_port,protocol,orig_bytes,resp_bytes,orig_pkts,resp_pkts,duration,subnet,qos_class,qos_delay_ms,ttl
1736121601.613603,1736121603.475229,10.0.3.135,50876,146.75.31.6,443,udp,1557,4671,7,16,1.861626,Visitors,BE,0.33,63
1736121600.580985,1736121609.430480,10.0.2.208,47882,3.171.85.72,443,tcp,3856,11568,4,9,8.849496,Corporate,BE,0.33,127
1736121600.334691,1736121612.722728,10.0.4.148,2913,100.50.0.164,443,tcp,1378,4134,14,33,12.388037,Security_Cameras,BE,0.33,254
1736121601.340399,1736121609.887466,10.0.4.250,17582,18.213.226.45,443,tcp,3116,9348,17,40,8.547066,Security_Cameras,BE,0.33,254
1736121601.341276,1736121602.872656,10.0.2.20,53784,239.255.255.250,1900,udp,773,2319,4,9,1.531379,Corporate,BE,0.33,127
1736121601.394361,1736121614.202306,10.0.4.224,48289,32.194.78.238,443,tcp,3400,10200,15,36,12.807945,Security_Cameras,BE,0.33,254
1736121602.550417,1736121606.854115,10.0.2.74,42298,146.75.31.6,443,udp,1166,3498,1,2,4.303698,Corporate,BE,0.33,127
1736121602.020562,1736121612.218967,10.0.4.55,61408,54.90.191.9,123,udp,47,141,1,2,10.198406,Security_Cameras,BE,0.33,254
1736121604.853630,1736121605.404176,10.0.3.157,8845,17.248.230.66,443,udp,6771,20313,1,2,0.550545,Visitors,BE,0.33,63
1736121602.724875,1736121611.129190,10.0.1.37,21889,129.146.193.200,123,udp,47,141,1,2,8.404315,Trading,BE,0.33,127
1736121602.321028,1736121604.625063,10.0.4.22,22611,44.211.213.240,9503,udp,12928,38784,40,96,2.304035,Security_Cameras,BE,0.39,254
1736121602.469525,1736121604.731185,10.0.4.137,53087,52.2.3.61,443,tcp,1792,5376,13,31,2.261660,Security_Cameras,BE,0.65,254
1736121602.641365,1736121612.127530,10.0.4.246,63618,98.87.225.147,443,tcp,1210,3630,17,40,9.486165,Security_Cameras,BE,0.86,254
1736121602.560417,1736121610.982708,10.0.2.138,25877,3.171.100.125,443,tcp,1489,4467,12,28,8.422290,Corporate,BE,0.33,127
1736121603.112756,1736121605.968257,10.0.1.225,23840,45.33.53.84,123,udp,47,141,1,2,2.855502,Trading,BE,0.33,127
1736121604.459954,1736121606.052149,10.0.1.237,10820,45.33.53.84,123,udp,47,141,1,2,1.592196,Trading,BE,0.33,127
1736121603.291081,1736121612.006555,10.0.2.23,33039,172.253.63.108,993,tcp,34,68,8,12,8.715474,Corporate,BE,0.33,127
1736121604.293344,1736121606.493740,10.0.2.192,2985,17.248.169.168,443,udp,1990,5970,34,81,2.200396,Corporate,BE,0.33,127
1736121603.849120,1736121605.060153,10.0.4.30,1393,54.147.255.253,443,tcp,40135,120405,12,28,1.211033,Security_Cameras,BE,1000.0,254
1736121605.156266,1736121612.456925,10.0.4.102,57654,44.197.41.10,443,tcp,4569,13707,17,40,7.300660,Security_Cameras,BE,1000.0,254
1736121605.236568,1736121621.442006,10.0.4.158,35989,52.1.6.39,443,tcp,60,180,7,16,16.205438,Security_Cameras,BE,0.33,254
1736121604.673415,1736121610.931732,10.0.2.6,54119,17.248.230.66,443,udp,1476,4428,2,4,6.258318,Corporate,BE,0.33,127
1736121605.050985,1736121615.281107,10.0.1.203,32834,23.111.186.186,123,udp,47,141,1,2,10.230123,Trading,BE,0.33,127
1736121605.761644,1736121608.171155,10.0.2.99,40391,3.171.85.84,443,tcp,7002,21006,16,38,2.409511,Corporate,BE,0.33,127
1736121606.812655,1736121613.301797,10.0.3.198,13273,142.251.111.94,443,udp,4069,12207,18,43,6.489142,Visitors,BE,0.33,63
1736121605.437923,1736121616.758490,10.0.1.23,62595,239.254.127.63,48000,udp,192,576,1,2,11.320567,Trading,BE,0.33,127
1736121605.722334,1736121611.198902,10.0.4.193,27037,98.95.178.97,443,tcp,934,2802,10,24,5.476568,Security_Cameras,BE,0.33,254
1736121606.869346,1736121623.864322,10.0.1.78,25265,23.186.168.132,123,udp,47,141,1,2,16.994977,Trading,BE,0.33,127
1736121605.732334,1736121614.652143,10.0.4.12,3790,100.50.0.164,443,tcp,1002,3006,11,26,8.919809,Security_Cameras,BE,0.33,254
1736121606.391321,1736121608.444268,10.0.4.149,34018,52.23.5.204,443,tcp,8127,24381,37,88,2.052947,Security_Cameras,BE,0.33,254
1736121606.011925,1736121619.278411,10.0.2.244,63404,3.171.100.124,443,tcp,1304,3912,2,4,13.266485,Corporate,BE,0.33,127
1736121607.999202,1736121622.960921,10.0.2.13,9029,224.0.0.251,5353,udp,496,1488,7,16,14.961718,Corporate,BE,0.33,127
1736121606.821406,1736121610.280405,10.0.4.246,29355,32.194.78.238,443,tcp,3061,9183,28,67,3.458999,Security_Cameras,BE,0.33,254
1736121606.939575,1736121626.820376,10.0.3.104,61603,146.75.31.6,443,udp,500,1500,6,14,19.880801,Visitors,BE,0.33,63
1736121607.312762,1736121611.693254,10.0.4.148,33224,52.23.5.204,443,tcp,8810,26430,47,112,4.380491,Security_Cameras,BE,0.33,254
1736121607.031802,1736121610.729770,10.0.1.132,18882,45.33.53.84,123,udp,47,141,1,2,3.697968,Trading,BE,0.33,127
1736121608.615454,1736121609.665506,10.0.3.198,22097,224.0.0.251,5353,udp,647,1941,9,21,1.050052,Visitors,BE,0.33,63
