flow_start,flow_end,src_ip,src_port,dst_ip,dst_port,protocol,orig_bytes,resp_bytes,orig_pkts,resp_pkts,duration,subnet,qos_class,qos_delay_ms,ttl
1736121600.925505,1736121603.413263,10.0.4.233,63147,224.0.0.251,5353,udp,2062,6186,3,7,2.487759,IoT_Sensors,BE,0.33,254
1736121601.526671,1736121607.623874,10.0.1.148,29673,52.1.6.39,443,tcp,2178,6534,1,2,6.097203,Servers,BE,0.33,63
1736121601.795203,1736121607.201310,10.0.5.127,56116,224.0.0.251,5353,udp,2029,6087,4,9,5.406107,Guest_WiFi,BE,0.33,63
1736121600.681593,1736121607.583336,10.0.3.63,47576,108.18.98.104,51430,udp,3390,10170,55,132,6.901743,Development,BE,0.33,127
1736121607.819342,1736121608.574644,10.0.2.10,39394,3.171.85.84,443,tcp,1296,3888,11,26,0.755302,Workstations,BE,0.33,127
1736121602.334793,1736121606.406875,10.0.3.96,28525,178.156.152.106,3478,udp,220,660,6,14,4.072082,Development,BE,0.33,127
1736121602.332945,1736121604.295954,10.0.4.221,9081,32.195.249.247,443,tcp,2816,8448,13,31,1.963009,IoT_Sensors,BE,0.33,254
1736121602.208815,1736121605.888809,10.0.1.220,64070,54.147.255.253,443,tcp,29204,87612,17,40,3.679994,Servers,BE,19.38,63
1736121602.144982,1736121605.112141,10.0.5.166,31280,172.253.63.108,993,tcp,97,194,9,14,2.967160,Guest_WiFi,BE,0.33,63
1736121602.335205,1736121604.705240,10.0.5.113,42244,147.81.176.236,443,tcp,268,804,35,84,2.370035,Guest_WiFi,BE,0.33,63
1736121603.051912,1736121609.189578,10.0.1.102,2853,54.145.15.109,443,tcp,2029,6087,24,57,6.137665,Servers,BE,0.33,63
1736121604.254582,1736121625.070295,10.0.4.183,55892,44.215.200.205,443,tcp,1463,4389,12,28,20.815713,IoT_Sensors,BE,0.33,254
1736121603.510516,1736121608.505515,10.0.3.50,34018,103.133.36.2,34402,tcp,1822,5466,2,4,4.994999,Development,BE,0.33,127
1736121602.688216,1736121605.066566,10.0.5.228,28591,224.0.0.251,5353,udp,473,1419,3,7,2.378350,Guest_WiFi,BE,0.33,63
1736121603.809690,1736121606.938642,10.0.5.85,27371,18.160.46.98,443,tcp,62,124,3,4,3.128952,Guest_WiFi,BE,0.33,63
1736121604.227420,1736121604.820890,10.0.3.31,11606,103.133.36.2,56050,tcp,708,2124,2,4,0.593470,Development,BE,0.33,127
1736121604.621086,1736121610.086402,10.0.5.71,48439,146.75.31.6,443,udp,1815,5445,1,2,5.465316,Guest_WiFi,BE,0.33,63
1736121605.378300,1736121613.942784,10.0.1.69,49114,44.208.255.131,443,tcp,32108,96324,57,136,8.564484,Servers,BE,1000.0,63
1736121604.294218,1736121605.910783,10.0.3.183,3075,108.18.98.104,51620,udp,5107,15321,2,4,1.616564,Development,BE,0.33,127
1736121604.264582,1736121615.370208,10.0.4.38,57528,54.145.15.109,443,tcp,1031,3093,8,19,11.105626,IoT_Sensors,BE,0.33,254
1736121604.498648,1736121607.260550,10.0.4.246,49555,44.212.134.19,443,tcp,22506,67518,57,136,2.761902,IoT_Sensors,BE,3.67,254
1736121604.645782,1736121605.862826,10.0.3.96,32391,103.133.36.2,48692,tcp,491,1473,2,4,1.217044,Development,BE,0.33,127
1736121605.629381,1736121609.335953,10.0.1.98,17523,52.2.3.61,443,tcp,668,2004,14,33,3.706573,Servers,BE,0.33,63
1736121604.874977,1736121612.770297,10.0.4.75,64200,54.205.175.194,443,tcp,1481,4443,11,26,7.895320,IoT_Sensors,BE,5.02,254
1736121609.776052,1736121613.474801,10.0.5.26,59694,17.248.169.168,443,udp,1792,5376,3,7,3.698748,Guest_WiFi,BE,0.33,63
1736121605.382088,1736121614.722789,10.0.3.112,26460,199.38.181.93,3478,udp,2414,7242,771,1850,9.340700,Development,BE,0.33,127
1736121604.906190,1736121618.029490,10.0.4.192,18481,100.50.0.164,443,tcp,1927,5781,8,19,13.123300,IoT_Sensors,BE,8.16,254
1736121608.280150,1736121613.021091,10.0.3.125,62162,178.156.152.91,80,tcp,141,423,2,4,4.740941,Development,BE,0.33,127
1736121607.191722,1736121618.206496,10.0.4.176,45813,54.147.255.253,443,tcp,51837,155511,164,393,11.014774,IoT_Sensors,BE,1000.0,254
1736121608.208226,1736121653.724069,10.0.4.44,22818,100.50.0.164,443,tcp,580,1740,9,21,45.515843,IoT_Sensors,BE,0.33,254
1736121607.860315,1736121611.936593,10.0.1.129,43773,224.0.0.251,5353,udp,1942,5826,9,21,4.076277,Servers,BE,0.33,63
1736121606.708593,1736121618.002445,10.0.1.118,25980,52.23.5.204,443,tcp,112439,337317,61,146,11.293852,Servers,BE,1000.0,63
1736121607.572254,1736121609.983934,10.0.1.98,58283,44.197.41.10,443,tcp,3678,11034,17,40,2.411681,Servers,BE,1000.0,63
1736121608.457352,1736121612.626696,10.0.2.79,44336,3.171.100.124,443,tcp,5831,17493,101,242,4.169343,Workstations,BE,0.33,127
1736121608.561660,1736121619.143056,10.0.1.252,6380,44.212.134.19,443,tcp,13595,40785,110,264,10.581396,Servers,BE,0.48,63
1736121608.553380,1736121611.500911,10.0.4.122,22566,54.145.15.109,443,tcp,1256,3768,13,31,2.947531,IoT_Sensors,BE,0.33,254
1736121608.458450,1736121609.225940,10.0.3.107,1150,178.156.152.106,3478,udp,359,1077,6,14,0.767490,Development,BE,0.33,127
1736121610.454274,1736121612.346759,10.0.2.198,58990,17.248.228.27,443,udp,3286,9858,10,24,1.892485,Workstations,BE,0.33,127
1736121609.740185,1736121612.537560,10.0.3.71,61198,103.133.36.2,59902,tcp,1122,3366,3,7,2.797375,Development,BE,0.33,127
1736121608.997833,1736121615.324007,10.0.1.7,1410,54.145.15.109,443,tcp,1309,3927,16,38,6.326174,Servers,BE,0.33,63
1736121610.165942,1736121621.235980,10.0.1.81,22934,52.1.6.39,443,tcp,210,630,8,19,11.070038,Servers,BE,0.33,63
1736121611.648960,1736121615.849354,10.0.4.191,26946,44.208.255.131,443,tcp,110819,332457,33,79,4.200394,IoT_Sensors,BE,1000.0,254
1736121610.571671,1736121630.290578,10.0.3.231,21813,239.255.255.250,1900,udp,231,693,1,2,19.718907,Development,BE,0.33,127
1736121611.058970,1736121615.929036,10.0.5.216,57106,52.86.162.167,443,tcp,7320,21960,21,50,4.870066,Guest_WiFi,BE,0.33,63
1736121611.483675,1736121616.118397,10.0.1.88,41929,224.0.0.251,5353,udp,619,1857,7,16,4.634722,Servers,BE,0.33,63
1736121610.533652,1736121613.632097,10.0.2.170,29154,224.0.0.251,5353,udp,836,2508,6,14,3.098445,Workstations,BE,0.33,127
1736121611.450015,1736121614.429204,10.0.2.180,40497,224.0.0.251,5353,udp,567,1701,9,21,2.979189,Workstations,BE,0.33,127
1736121611.732246,1736121628.159470,10.0.3.252,9417,147.81.172.199,54070,tcp,70275,210825,1,2,16.427225,Development,BE,0.33,127
1736121610.852299,1736121621.409258,10.0.4.97,25664,44.208.255.131,443,tcp,20034,60102,18,43,10.556959,IoT_Sensors,BE,1.9,254
1736121611.722707,1736121635.609672,10.0.4.68,5539,54.205.175.194,443,tcp,1134,3402,14,33,23.886965,IoT_Sensors,BE,2.34,254
1736121611.109026,1736121616.084789,10.0.5.215,16199,146.75.31.6,443,udp,1663,4989,1,2,4.975762,Guest_WiFi,BE,0.33,63
1736121611.964450,1736121614.276901,10.0.5.247,7520,3.171.100.125,443,tcp,1596,4788,11,26,2.312451,Guest_WiFi,BE,0.33,63
1736121611.492298,1736121613.862933,10.0.2.49,42498,17.248.230.66,443,udp,4808,14424,3,7,2.370634,Workstations,BE,0.33,127
1736121612.459837,1736121619.884727,10.0.1.201,14077,224.0.0.251,5353,udp,362,1086,4,9,7.424891,Servers,BE,0.33,63
1736121612.319440,1736121615.821679,10.0.2.130,24447,3.171.100.124,443,tcp,536,1608,1,2,3.502239,Workstations,BE,0.33,127
1736121612.620769,1736121622.799046,10.0.3.250,52485,199.38.181.93,443,tcp,6028,18084,5,12,10.178277,Development,BE,0.33,127
1736121614.615385,1736121635.106421,10.0.5.143,42646,224.0.0.251,5353,udp,6868,20604,3,7,20.491036,Guest_WiFi,BE,0.33,63
1736121613.368846,1736121624.137326,10.0.2.249,47462,147.81.172.199,30081,tcp,6,18,9,21,10.768480,Workstations,BE,0.33,127
1736121613.383947,1736121620.099553,10.0.1.201,11665,44.197.41.10,443,tcp,4339,13017,23,55,6.715606,Servers,BE,0.33,63
1736121613.227759,1736121620.329468,10.0.3.66,62642,108.18.98.104,41642,udp,26614,79842,15,36,7.101709,Development,BE,0.33,127
1736121615.794548,1736121618.794613,10.0.4.74,5471,100.50.0.164,443,tcp,2514,7542,17,40,3.000065,IoT_Sensors,BE,0.33,254
1736121614.646595,1736121619.560900,10.0.3.213,18567,178.156.152.91,3478,udp,127,381,3,7,4.914305,Development,BE,0.33,127
1736121613.947035,1736121625.385060,10.0.2.186,16033,224.0.0.251,5353,udp,383,1149,7,16,11.438026,Workstations,BE,0.33,127
1736121613.823539,1736121618.343616,10.0.1.135,45210,34.204.218.249,443,tcp,1115,3345,13,31,4.520077,Servers,BE,0.33,63
1736121614.376185,1736121614.961521,10.0.1.69,59733,224.0.0.251,5353,udp,449,1347,1,2,0.585336,Servers,BE,0.33,63
1736121614.160022,1736121620.345890,10.0.2.73,22297,224.0.0.251,5353,udp,874,2622,4,9,6.185868,Workstations,BE,0.33,127
1736121614.226006,1736121622.072702,10.0.2.107,43193,224.0.0.251,5353,udp,3375,10125,2,4,7.846696,Workstations,BE,0.33,127
1736121614.561484,1736121619.122100,10.0.2.227,45912,3.171.85.95,443,tcp,656,1968,19,45,4.560615,Workstations,BE,0.33,127
1736121616.142516,1736121619.794865,10.0.1.168,17887,52.2.3.61,443,tcp,890,2670,9,21,3.652349,Servers,BE,0.33,63
1736121616.810183,1736121619.979846,10.0.2.145,32387,17.248.228.12,443,udp,4675,14025,4,9,3.169663,Workstations,BE,0.33,127
1736121615.394351,1736121621.871210,10.0.5.236,50595,146.75.31.6,443,udp,1720,5160,50,120,6.476858,Guest_WiFi,BE,0.33,63
1736121615.053679,1736121616.666276,10.0.3.121,20988,103.133.36.2,59902,tcp,1043,3129,3,7,1.612597,Development,BE,0.33,127
1736121616.355473,1736121620.389936,10.0.3.103,34471,108.18.98.104,51430,udp,344,1032,59,141,4.034464,Development,BE,0.33,127
1736121616.062862,1736121619.097690,10.0.5.192,32419,172.253.63.108,993,tcp,1452,2904,39,62,3.034828,Guest_WiFi,BE,0.33,63
1736121616.599172,1736121621.514514,10.0.4.191,52957,44.197.41.10,443,tcp,8572,25716,23,55,4.915342,IoT_Sensors,BE,0.33,254
1736121616.428944,1736121618.589052,10.0.5.215,63604,17.253.20.45,123,udp,68,204,1,2,2.160109,Guest_WiFi,BE,0.33,63
1736121616.727499,1736121617.758831,10.0.1.34,59124,100.50.0.164,443,tcp,8648,25944,27,64,1.031332,Servers,BE,0.33,63
1736121616.776161,1736121636.068150,10.0.3.162,54502,103.133.36.2,56050,tcp,2719,8157,3,7,19.291989,Development,BE,0.33,127
1736121616.874980,1736121627.695509,10.0.5.59,28042,3.171.85.106,443,tcp,868,2604,7,16,10.820529,Guest_WiFi,BE,0.33,63
1736121618.548508,1736121620.536831,10.0.4.96,13966,44.208.255.131,443,tcp,21056,63168,39,93,1.988324,IoT_Sensors,BE,2.29,254
1736121616.955575,1736121618.246786,10.0.1.240,52603,100.50.0.164,443,tcp,567,1701,8,19,1.291210,Servers,BE,0.33,63
1736121618.628626,1736121627.050118,10.0.3.50,55428,239.255.255.250,1900,udp,231,693,1,2,8.421493,Development,BE,0.33,127
1736121617.246241,1736121619.775285,10.0.2.204,34120,3.171.85.72,443,tcp,3155,9465,10,24,2.529044,Workstations,BE,0.33,127
1736121619.214735,1736121627.977633,10.0.5.75,40656,3.171.85.84,443,tcp,3377,10131,6,14,8.762897,Guest_WiFi,BE,0.33,63
1736121617.121032,1736121627.340747,10.0.1.109,25098,34.233.14.136,443,tcp,3321,9963,15,36,10.219715,Servers,BE,0.34,63
1736121620.248454,1736121624.046420,10.0.1.186,13636,224.0.0.251,5353,udp,900,2700,7,16,3.797966,Servers,BE,0.33,63
1736121617.333221,1736121622.059803,10.0.2.61,10837,224.0.0.251,5353,udp,434,1302,5,12,4.726581,Workstations,BE,0.33,127
1736121618.068736,1736121623.212760,10.0.2.167,39009,3.171.85.106,443,tcp,1703,5109,1,2,5.144024,Workstations,BE,0.33,127
1736121618.146768,1736121638.769154,10.0.2.203,29690,239.255.255.250,1900,udp,425,1275,5,12,20.622386,Workstations,BE,0.33,127
1736121619.244436,1736121626.861092,10.0.2.137,23367,224.0.0.251,5353,udp,510,1530,2,4,7.616656,Workstations,BE,0.33,127
1736121618.647719,1736121624.374738,10.0.4.164,1694,52.86.162.167,443,tcp,1193,3579,19,45,5.727019,IoT_Sensors,BE,0.33,254
1736121618.767272,1736121628.813806,10.0.3.223,22701,108.18.98.104,51620,udp,5692,17076,23,55,10.046534,Development,BE,0.33,127
1736121619.772701,1736121624.794713,10.0.4.216,2555,32.195.249.247,443,tcp,1117,3351,10,24,5.022013,IoT_Sensors,BE,0.33,254
